original_article,cleaned_article,change_description,legal_violation_categories
《煤矿安全规程》第八条第三款;2.02掘进工作面喷碹滞后长约50m未喷碹,《煤矿安全规程》第八条第三款,"截断后缀"";2.02掘进工作面喷碹滞后长约50m未...""",安全生产
《煤矿安全规程》第六百八十五条、,《煤矿安全规程》第六百八十五条,"截断后缀""、""",安全生产
《煤矿安全规程》第四条第三款、,《煤矿安全规程》第四条第三款,"截断后缀""、""",安全生产
《煤矿安全规程》第十三条第三款的的规定;第3项行为违反了,《煤矿安全规程》第十三条第三款的的规定;第3项,"截断后缀""行为违反了""",安全生产
《煤矿安全规程》第十三条、,《煤矿安全规程》第十三条,"截断后缀""、""",安全生产
"《煤矿安全规程》第六百六十一条,",《煤矿安全规程》第六百六十一条,"截断后缀"",""",安全生产
《煤矿领导带班下井及安全监督检查规定》第十八条第（五）项、3.,《煤矿领导带班下井及安全监督检查规定》第十八条第（五）项,"截断后缀""、3.""",安全生产
《安全生产违法行为行政处罚办法》第四十六条第(二)项、,《安全生产违法行为行政处罚办法》第四十六条第(二)项,"截断后缀""、""",安全生产
《生产经营单位安全培训规定》第三十条第一款第二项、,《生产经营单位安全培训规定》第三十条第一款第二项,"截断后缀""、""",安全生产
《煤矿领导带班下井及安全监督检查规定》第十条第二款、3.,《煤矿领导带班下井及安全监督检查规定》第十条第二款,"截断后缀""、3.""",安全生产
《安全生产违法行为行政处罚办法》第四十五条罚款,《安全生产违法行为行政处罚办法》第四十五条,"截断后缀""罚款""",安全生产
《安全生产违法行为行政处罚办法》第四十六条第（二）项和,《安全生产违法行为行政处罚办法》第四十六条第（二）项,"截断后缀""和""",安全生产
《煤矿防灭火细则》第五十九条第三项规定等5条,《煤矿防灭火细则》第五十九条第三项,"截断后缀""规定等5条""",安全生产
《煤矿防灭火细则》第四十五条规定;4.违反了,《煤矿防灭火细则》第四十五条,"截断后缀""规定;4.违反了""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第一项;,《安全生产违法行为行政处罚办法》第四十五条第一项,"截断后缀"";""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第一项;2.,《安全生产违法行为行政处罚办法》第四十五条第一项,"截断后缀"";2.""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第一项;4.,《安全生产违法行为行政处罚办法》第四十五条第一项,"截断后缀"";4.""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第一项、,《安全生产违法行为行政处罚办法》第四十五条第一项,"截断后缀""、""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第七项、2.,《安全生产违法行为行政处罚办法》第四十五条第七项,"截断后缀""、2.""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第七项及,《安全生产违法行为行政处罚办法》第四十五条第七项,"截断后缀""及""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第一款和,《安全生产违法行为行政处罚办法》第四十五条第一款,"截断后缀""和""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第（一）项、,《安全生产违法行为行政处罚办法》第四十五条第（一）项,"截断后缀""、""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第（一）项的规定拟给予贰万元的罚款,《安全生产违法行为行政处罚办法》第四十五条第（一）项的规定,"截断后缀""拟给予贰万元的罚款""",安全生产
《涂装作业安全规程粉末静电喷涂工艺安全》第5.1.6条,《涂装作业安全规程粉末静电喷涂工艺安全》,"截断后缀""第5.1.6条""",安全生产
《涂装作业安全规程粉末静电喷涂工艺安全》第4.5.3条,《涂装作业安全规程粉末静电喷涂工艺安全》,"截断后缀""第4.5.3条""",安全生产
《安全阀安全技术监察规程》第B6.3.1条,《安全阀安全技术监察规程》,"截断后缀""第B6.3.1条""",安全生产
《安全评价机构管理规定》第二十条作出罚款,《安全评价机构管理规定》第二十条,"截断后缀""作出罚款""",安全生产
《矿山安全法实施条例》第54条、,《矿山安全法实施条例》第54条,"截断后缀""、""",安全生产
《矿山安全法实施条例》第五十四条;2.,《矿山安全法实施条例》第五十四条,"截断后缀"";2.""",安全生产
《矿山安全法实施条例》第五十四条规定5.,《矿山安全法实施条例》第五十四条,"截断后缀""规定5.""",安全生产
《安全设施竣工验收安全评价报告》第19页一览表中显示项,《安全设施竣工验收安全评价报告》,"截断后缀""第19页一览表中显示项""",安全生产
《煤矿重大生产安全事故隐患判定标准》第十八条第（六）项和,《煤矿重大生产安全事故隐患判定标准》第十八条第（六）项,"截断后缀""和""",安全生产
《公安机关互联网安全监督检查规定》第二十一条第一款、,《公安机关互联网安全监督检查规定》第二十一条第一款,"截断后缀""、""",安全生产
《安全生产隐患排查治理暂行规定》第16号令第二十六条第一、二、三款,《安全生产隐患排查治理暂行规定》第16号令第二十六条,"截断后缀""第一、二、三款""",安全生产
《矿山安全法实施条例》第十七条;2.,《矿山安全法实施条例》第十七条,"截断后缀"";2.""",安全生产
《爆破安全规程》第14.2.1.2条,《爆破安全规程》,"截断后缀""第14.2.1.2条""",安全生产
《用人单位职业健康监护监督管理办法》第二十六条第﹝五﹞项、,《用人单位职业健康监护监督管理办法》第二十六条,"截断后缀""第﹝五﹞项、""",安全生产
《用人单位职业健康监护监督管理办法》第二十六条第（一）项、,《用人单位职业健康监护监督管理办法》第二十六条第（一）项,"截断后缀""、""",安全生产
《用人单位职业健康监护监督管理办法》第二十六条第（五）项、,《用人单位职业健康监护监督管理办法》第二十六条第（五）项,"截断后缀""、""",安全生产
《安全生产法》三十三条第一项规定,《安全生产法》三十三条第一项,"截断后缀""规定""",安全生产
《用人单位职业健康监护监督管理办法》第二十六条第﹝五﹞项,《用人单位职业健康监护监督管理办法》第二十六条,"截断后缀""第﹝五﹞项""",安全生产
《用人单位职业健康监护监督管理办法》第二十六条第(五)项行政处罚的履行方式和期限:罚款,《用人单位职业健康监护监督管理办法》第二十六条第(五)项,"截断后缀""行政处罚的履行方式和期限:罚款""",安全生产
《用人单位职业健康监护监督管理办法》第二十六条第(五)项项,《用人单位职业健康监护监督管理办法》第二十六条第(五)项,"截断后缀""项""",安全生产
《生产经营单位安全培训规定》第十三条）处罚依据：,《生产经营单位安全培训规定》第十三条,"截断后缀""）处罚依据：""",安全生产
《生产经营单位安全培训规定》第六条和,《生产经营单位安全培训规定》第六条,"截断后缀""和""",安全生产
《特种作业人员安全技术培训考核管理规定》第三十八条及,《特种作业人员安全技术培训考核管理规定》第三十八条,"截断后缀""及""",安全生产
《特种作业人员安全技术培训考核管理规定》第三十九条第一款给予罚款,《特种作业人员安全技术培训考核管理规定》第三十九条第一款,"截断后缀""给予罚款""",安全生产
《特种作业人员安全技术培训考核管理规定》第三十九条第一款处陆仟元罚款,《特种作业人员安全技术培训考核管理规定》第三十九条第一款,"截断后缀""处陆仟元罚款""",安全生产
《生产设备安全卫生设计总则》第6.2.1条,《生产设备安全卫生设计总则》,"截断后缀""第6.2.1条""",安全生产
《生产经营单位生产安全事故应急预案编制导则》第4.5条,《生产经营单位生产安全事故应急预案编制导则》,"截断后缀""第4.5条""",安全生产
《生产设备安全卫生设计总则》第6.1.6条,《生产设备安全卫生设计总则》,"截断后缀""第6.1.6条""",安全生产
《生产设备安全卫生设计总则》第6.1.6条、第6.1.6条,《生产设备安全卫生设计总则》,"截断后缀""第6.1.6条、第6.1.6条""",安全生产
《生产设备安全卫生设计总则》第6.1.6条强制条款,《生产设备安全卫生设计总则》,"截断后缀""第6.1.6条强制条款""",安全生产
《生产设备安全卫生设计总则》第6.1.6项,《生产设备安全卫生设计总则》,"截断后缀""第6.1.6项""",安全生产
《特种作业人员安全技术培训考核管理规定》第三十四条、,《特种作业人员安全技术培训考核管理规定》第三十四条,"截断后缀""、""",安全生产
《安全生产违法行为行政处罚办法》第四十三条;,《安全生产违法行为行政处罚办法》第四十三条,"截断后缀"";""",安全生产
《安全生产违法行为行政处罚办法》第四十五和,《安全生产违法行为行政处罚办法》,"截断后缀""第四十五和""",安全生产
《安全生产违法行为行政处罚办法》第四十五条(一)项给予处罚:对1条违法行为,《安全生产违法行为行政处罚办法》第四十五条(一)项,"截断后缀""给予处罚:对1条违法行为""",安全生产
《安全生产违法行为行政处罚办法》第四十五条和,《安全生产违法行为行政处罚办法》第四十五条,"截断后缀""和""",安全生产
《安全生产违法行为行政处罚办法》第十七条规定,《安全生产违法行为行政处罚办法》第十七条,"截断后缀""规定""",安全生产
《安全生产违法行为行政处罚办法》第五十三条的规定对该单位行为1、行为2合并处罚,《安全生产违法行为行政处罚办法》第五十三条的规定,"截断后缀""对该单位行为1、行为2合并处罚""",安全生产
"《安全生产事故隐患排查治理暂行规定》第十四条第一款,",《安全生产事故隐患排查治理暂行规定》第十四条第一款,"截断后缀"",""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第(一)项给予警告,《安全生产违法行为行政处罚办法》第四十五条第(一)项,"截断后缀""给予警告""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第(一)项罚款,《安全生产违法行为行政处罚办法》第四十五条第(一)项,"截断后缀""罚款""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第(一)项罚款,《安全生产违法行为行政处罚办法》第四十五条第(一)项,"截断后缀""罚款""",安全生产
"《安全生产违法行为行政处罚办法》第四十五条第(七)项,",《安全生产违法行为行政处罚办法》第四十五条第(七)项,"截断后缀"",""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第(一)项决定给予警告,《安全生产违法行为行政处罚办法》第四十五条第(一)项,"截断后缀""决定给予警告""",安全生产
《安全生产违法行为行政处罚办法》第四十五条的规定决定对你单位主要负责人赖弟强处0.2万元罚款,《安全生产违法行为行政处罚办法》第四十五条的规定,"截断后缀""决定对你单位主要负责人赖弟强处0.2万元...""",安全生产
《安全生产事故隐患排查治理暂行规定》第二十六条规定,《安全生产事故隐患排查治理暂行规定》第二十六条,"截断后缀""规定""",安全生产
《安全生产违法行为行政处罚办法》第四十五条第(一)项、,《安全生产违法行为行政处罚办法》第四十五条第(一)项,"截断后缀""、""",安全生产
《安全生产培训管理办法》第十一条和,《安全生产培训管理办法》第十一条,"截断后缀""和""",安全生产
《用人单位职业健康监护监督管理办法》第十七条第﹝三﹞项,《用人单位职业健康监护监督管理办法》第十七条,"截断后缀""第﹝三﹞项""",安全生产
《用人单位职业健康监护监督管理办法》第十七条第﹝三﹞项、,《用人单位职业健康监护监督管理办法》第十七条,"截断后缀""第﹝三﹞项、""",安全生产
《用人单位职业健康监护监督管理办法》第十七条规定,《用人单位职业健康监护监督管理办法》第十七条,"截断后缀""规定""",安全生产
《安全生产违法行为行政处罚办法》第九十六条第（三）项的规定拟给予肆万伍仟元的罚款,《安全生产违法行为行政处罚办法》第九十六条第（三）项的规定,"截断后缀""拟给予肆万伍仟元的罚款""",安全生产
"《安全生产违法行为行政处罚办法》第九十六条第（三）项的规定拟给予肆万伍仟元的罚款,",《安全生产违法行为行政处罚办法》第九十六条第（三）项的规定,"截断后缀""拟给予肆万伍仟元的罚款,""",安全生产
《工作场所职业卫生监督管理规定》第四十八条、,《工作场所职业卫生监督管理规定》第四十八条,"截断后缀""、""",安全生产
"《工作场所职业卫生监督管理规定》第九条第一款,",《工作场所职业卫生监督管理规定》第九条第一款,"截断后缀"",""",安全生产
《工作场所职业卫生监督管理规定》第五十一条第(四)项、,《工作场所职业卫生监督管理规定》第五十一条第(四)项,"截断后缀""、""",安全生产
《工作场所职业卫生监督管理规定》第四十八条第（二）项.,《工作场所职业卫生监督管理规定》第四十八条第（二）项,"截断后缀"".""",安全生产
《工作场所职业卫生管理规定》第九条第一款、,《工作场所职业卫生管理规定》第九条第一款,"截断后缀""、""",安全生产
《工作场所职业卫生管理规定》第九条第一款和,《工作场所职业卫生管理规定》第九条第一款,"截断后缀""和""",安全生产
《工作场所职业卫生管理规定》第二十条第一款、,《工作场所职业卫生管理规定》第二十条第一款,"截断后缀""、""",安全生产
《煤矿安全规程》第四百八十八条第二款、,《煤矿安全规程》第四百八十八条第二款,"截断后缀""、""",安全生产
《工作场所职业卫生管理规定》第五十四条;,《工作场所职业卫生管理规定》第五十四条,"截断后缀"";""",安全生产
《工作场所职业卫生管理规定》第三十六条、,《工作场所职业卫生管理规定》第三十六条,"截断后缀""、""",安全生产
《工作场所职业卫生管理规定》第三十条、,《工作场所职业卫生管理规定》第三十条,"截断后缀""、""",安全生产
《煤矿安全规程》第四百四十三条、四百五十三条、四百五十六条、四百六十条,《煤矿安全规程》第四百四十三条,"截断后缀""、四百五十三条、四百五十六条、四百六十条""",安全生产
"《煤矿安全规程》第四百四十八条,",《煤矿安全规程》第四百四十八条,"截断后缀"",""",安全生产
《生产安全事故应急预案管理办法》第四十五条第五项和,《生产安全事故应急预案管理办法》第四十五条第五项,"截断后缀""和""",安全生产
《生产安全事故应急预案管理办法》第四十五条第五项、,《生产安全事故应急预案管理办法》第四十五条第五项,"截断后缀""、""",安全生产
《工业企业煤气安全规程》第4.11条,《工业企业煤气安全规程》,"截断后缀""第4.11条""",安全生产
《煤矿安全规程》第四百八十二条和,《煤矿安全规程》第四百八十二条,"截断后缀""和""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第三十条第一项;,《工贸企业有限空间作业安全管理与监督暂行规定》第三十条第一项,"截断后缀"";""",安全生产
"《工贸企业有限空间作业安全管理与监督暂行规定》第七条、第十九条第二项,",《工贸企业有限空间作业安全管理与监督暂行规定》第七条、第十九条第二项,"截断后缀"",""",安全生产
《互联网安全保护技术措施规定》第十五条、,《互联网安全保护技术措施规定》第十五条,"截断后缀""、""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第七条、,《工贸企业有限空间作业安全管理与监督暂行规定》第七条,"截断后缀""、""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第三十条第一项的规定;第2-7项,《工贸企业有限空间作业安全管理与监督暂行规定》第三十条第一项的规定,"截断后缀"";第2-7项""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第二十九条第(一)项规定,《工贸企业有限空间作业安全管理与监督暂行规定》第二十九条第(一)项,"截断后缀""规定""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第二十九条第一项、第三项规定对其处罚人民币贰万元的行政罚款,《工贸企业有限空间作业安全管理与监督暂行规定》第二十九条第一项、第三项,"截断后缀""规定对其处罚人民币贰万元的行政罚款""",安全生产
《煤矿安全规程》第四百九十四条、,《煤矿安全规程》第四百九十四条,"截断后缀""、""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第二十九条第二项;2、,《工贸企业有限空间作业安全管理与监督暂行规定》第二十九条第二项,"截断后缀"";2、""",安全生产
《煤矿安全规程》第四百九十二条第二款、,《煤矿安全规程》第四百九十二条第二款,"截断后缀""、""",安全生产
"《工贸企业有限空间作业安全管理与监督暂行规定》第二十一条,",《工贸企业有限空间作业安全管理与监督暂行规定》第二十一条,"截断后缀"",""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第三十条第（一）项、,《工贸企业有限空间作业安全管理与监督暂行规定》第三十条第（一）项,"截断后缀""、""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第三十条第（二）项、,《工贸企业有限空间作业安全管理与监督暂行规定》第三十条第（二）项,"截断后缀""、""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第二十一条;2、,《工贸企业有限空间作业安全管理与监督暂行规定》第二十一条,"截断后缀"";2、""",安全生产
"《煤矿安全规程》第四百八十三条,",《煤矿安全规程》第四百八十三条,"截断后缀"",""",安全生产
《生产安全事故应急预案管理办法》第四十五条第(五)项和第(六项,《生产安全事故应急预案管理办法》第四十五条第(五)项,"截断后缀""和第(六项""",安全生产
《工作场所职业卫生管理规定》第四十七条第(二)项、,《工作场所职业卫生管理规定》第四十七条第(二)项,"截断后缀""、""",安全生产
《煤矿安全规程》第四百八十三条第一款、,《煤矿安全规程》第四百八十三条第一款,"截断后缀""、""",安全生产
《生产经营单位安全培训规定》第九条第一款、,《生产经营单位安全培训规定》第九条第一款,"截断后缀""、""",安全生产
《工作场所职业卫生管理规定》第四十七条第二项;,《工作场所职业卫生管理规定》第四十七条第二项,"截断后缀"";""",安全生产
《煤矿安全规程》第四百五十八条规定;2.违反了,《煤矿安全规程》第四百五十八条,"截断后缀""规定;2.违反了""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第59号)第三十条第(三)项规定,《工贸企业有限空间作业安全管理与监督暂行规定》第59号)第三十条第(三)项,"截断后缀""规定""",安全生产
《生产安全事故应急预案管理办法》第四十五条、,《生产安全事故应急预案管理办法》第四十五条,"截断后缀""、""",安全生产
《工贸企业有限空间作业安全管理与监督暂行规定》第59号)第二十八条第(二)项规定,《工贸企业有限空间作业安全管理与监督暂行规定》第59号)第二十八条第(二)项,"截断后缀""规定""",安全生产
"《煤矿安全规程》第四百五十一条,",《煤矿安全规程》第四百五十一条,"截断后缀"",""",安全生产
《卫生安全评价规定》第十七条规定的情形,《卫生安全评价规定》第十七条,"截断后缀""规定的情形""",安全生产
《山东省安全生产条例》第七十五条第(四)项:“违反本条,《山东省安全生产条例》第七十五条第(四)项,"截断后缀"":“违反本条""",安全生产
"《山东省安全生产条例》第七十六条,",《山东省安全生产条例》第七十六条,"截断后缀"",""",安全生产
《安全生产许可证条例》第六条第（十三）项和,《安全生产许可证条例》第六条第（十三）项,"截断后缀""和""",安全生产
"《山东省安全生产条例》第三十条第（三）项,",《山东省安全生产条例》第三十条第（三）项,"截断后缀"",""",安全生产
《山东省安全生产条例》第四十二条第(七)项、,《山东省安全生产条例》第四十二条第(七)项,"截断后缀""、""",安全生产
《山东省安全生产条例》第三十条第一款规定,《山东省安全生产条例》第三十条第一款,"截断后缀""规定""",安全生产
《綦江县土台麻柳页岩砖有限公司(扩建)开采设计及安全设施设计(变更)说明书》第5.9条,《綦江县土台麻柳页岩砖有限公司(扩建)开采设计及安全设施设计(变更)说明书》,"截断后缀""第5.9条""",安全生产
《山东省安全生产条例》第三十条第一款;6.,《山东省安全生产条例》第三十条第一款,"截断后缀"";6.""",安全生产
《粉尘防爆安全规程》第7.1.3条,《粉尘防爆安全规程》,"截断后缀""第7.1.3条""",安全生产
《粉尘防爆安全规程》第7.3.3条,《粉尘防爆安全规程》,"截断后缀""第7.3.3条""",安全生产
《粉尘防爆安全规程》第9.5条,《粉尘防爆安全规程》,"截断后缀""第9.5条""",安全生产
《粮食质量安全监管办法》第二十三条、,《粮食质量安全监管办法》第二十三条,"截断后缀""、""",安全生产
《山东省安全生产条例》第三十条第一款第三项、,《山东省安全生产条例》第三十条第一款第三项,"截断后缀""、""",安全生产
《矿用卡车检修作业规程》第1项违法违规行为给予警告,《矿用卡车检修作业规程》第1项,"截断后缀""违法违规行为给予警告""",安全生产
"《尾矿库安全监督管理规定》第二十三条及第三十九条第二款,",《尾矿库安全监督管理规定》第二十三条及第三十九条第二款,"截断后缀"",""",安全生产
《尾矿库安全监督管理规定》第十八条第四项、,《尾矿库安全监督管理规定》第十八条第四项,"截断后缀""、""",安全生产
《尾矿库安全监督管理规定》第四十条给予警告,《尾矿库安全监督管理规定》第四十条,"截断后缀""给予警告""",安全生产
《小型露天采石场安全管理与监督检查规定》第三十九条规定:给予警告,《小型露天采石场安全管理与监督检查规定》第三十九条,"截断后缀""规定:给予警告""",安全生产
《安全生产许可证条例》第二十条“违反本条,《安全生产许可证条例》第二十条,"截断后缀""“违反本条""",安全生产
《安全生产许可证条例》第十四条第二款和,《安全生产许可证条例》第十四条第二款,"截断后缀""和""",安全生产
《生产安全事故应急预案管理办法》第四十四条第（一）项、,《生产安全事故应急预案管理办法》第四十四条第（一）项,"截断后缀""、""",安全生产
《生产安全事故报告和调查处理条例》第四十条、,《生产安全事故报告和调查处理条例》第四十条,"截断后缀""、""",安全生产
《生产安全事故应急预案管理办法》第四十四条、,《生产安全事故应急预案管理办法》第四十四条,"截断后缀""、""",安全生产
《生产安全事故应急预案管理办法》第四十四条第一项给予人民币一万元罚款,《生产安全事故应急预案管理办法》第四十四条第一项,"截断后缀""给予人民币一万元罚款""",安全生产
《生产安全事故应急预案管理办法》第四十四条第一款第（一）项、第四十五条第一款第（一）项、,《生产安全事故应急预案管理办法》第四十四条第一款第（一）项、第四十五条第一款第（一）项,"截断后缀""、""",安全生产
《山东省煤矿冲击地压防治办法》第十六条、,《山东省煤矿冲击地压防治办法》第十六条,"截断后缀""、""",安全生产
《山东省安全生产行政处罚自由裁量基准（试行）》第42号第一档次处罚款,《山东省安全生产行政处罚自由裁量基准（试行）》第42号,"截断后缀""第一档次处罚款""",安全生产
《山东省安全生产行政处罚自由裁量基准（试行）》第48号第一档次处罚款,《山东省安全生产行政处罚自由裁量基准（试行）》第48号,"截断后缀""第一档次处罚款""",安全生产
《山东省安全生产行政处罚自由裁量基准》第1档次,《山东省安全生产行政处罚自由裁量基准》,"截断后缀""第1档次""",安全生产
《山东省安全生产行政处罚自由裁量基准》第一档次,《山东省安全生产行政处罚自由裁量基准》,"截断后缀""第一档次""",安全生产
《缺氧危险作业安全规程》第5.3.3条,《缺氧危险作业安全规程》,"截断后缀""第5.3.3条""",安全生产
《山东省建筑安全生产管理规定》第四十三条之条,《山东省建筑安全生产管理规定》第四十三条,"截断后缀""之条""",安全生产
《山东省建筑安全生产管理规定》第四十三条规定,《山东省建筑安全生产管理规定》第四十三条,"截断后缀""规定""",安全生产
《生产安全法》第三十三条第二款、,《生产安全法》第三十三条第二款,"截断后缀""、""",安全生产
《山东省建筑安全生产管理规定》第二十九条和,《山东省建筑安全生产管理规定》第二十九条,"截断后缀""和""",安全生产
《生产煤矿回采率管理暂行规定》第二十九条第2项规定,《生产煤矿回采率管理暂行规定》第二十九条第2项,"截断后缀""规定""",安全生产
《山东省建筑安全生产管理规定》第二十七条、二十八、二十九条,《山东省建筑安全生产管理规定》第二十七条,"截断后缀""、二十八、二十九条""",安全生产
"《中华人民共和国安全生产法》第二十条、第二十一条、第二十二条、三十条,",《中华人民共和国安全生产法》第二十条、第二十一条、第二十二条,"截断后缀""、三十条,""",安全生产
《中华人民共和国安全生产法》第二十条、第二十一条、第二十二条、三十条,《中华人民共和国安全生产法》第二十条、第二十一条、第二十二条,"截断后缀""、三十条""",安全生产
《中华人民共和国安全生产法》第二十六条第一款;,《中华人民共和国安全生产法》第二十六条第一款,"截断后缀"";""",安全生产
《中华人民共和国安全生产法》第二十八条第四款规定,《中华人民共和国安全生产法》第二十八条第四款,"截断后缀""规定""",安全生产
《中华人民共和国安全生产法》第二十条第一款规定：生产经营单位应当具备的安全生产条,《中华人民共和国安全生产法》第二十条第一款,"截断后缀""规定：生产经营单位应当具备的安全生产条""",安全生产
《中华人民共和国安全生产法》第八十二条第二款、,《中华人民共和国安全生产法》第八十二条第二款,"截断后缀""、""",安全生产
《中华人民共和国安全生产法》第八十一条、,《中华人民共和国安全生产法》第八十一条,"截断后缀""、""",安全生产
《中华人民共和国安全生产法》第五十七条、,《中华人民共和国安全生产法》第五十七条,"截断后缀""、""",安全生产
《中华人民共和国安全生产法》第五十七条;4.,《中华人民共和国安全生产法》第五十七条,"截断后缀"";4.""",安全生产
《中华人民共和国安全生产法》第二十五条第四款规定,《中华人民共和国安全生产法》第二十五条第四款,"截断后缀""规定""",安全生产
《中华人民共和国安全生产法》第二十五条第四款和,《中华人民共和国安全生产法》第二十五条第四款,"截断后缀""和""",安全生产
《中华人民共和国安全生产法》第二十五条第四款依据,《中华人民共和国安全生产法》第二十五条第四款,"截断后缀""依据""",安全生产
"《中华人民共和国安全生产法》第二十五条第四款、第三十三条第二款,",《中华人民共和国安全生产法》第二十五条第四款、第三十三条第二款,"截断后缀"",""",安全生产
《中华人民共和国安全生产法》第二十八条第一款;,《中华人民共和国安全生产法》第二十八条第一款,"截断后缀"";""",安全生产
《中华人民共和国安全生产法》第二十八条第四款、,《中华人民共和国安全生产法》第二十八条第四款,"截断后缀""、""",安全生产
"《中华人民共和国安全生产法》第二十八条第四款,",《中华人民共和国安全生产法》第二十八条第四款,"截断后缀"",""",安全生产
《中华人民共和国安全生产法》第二十八条第一款规定;二是,《中华人民共和国安全生产法》第二十八条第一款,"截断后缀""规定;二是""",安全生产
《中华人民共和国安全生产法》第二十八条第一款规定,《中华人民共和国安全生产法》第二十八条第一款,"截断后缀""规定""",安全生产
《中华人民共和国安全生产法》第二十八条第一款、,《中华人民共和国安全生产法》第二十八条第一款,"截断后缀""、""",安全生产
《中华人民共和国安全生产法》第二十八条第一款;2.,《中华人民共和国安全生产法》第二十八条第一款,"截断后缀"";2.""",安全生产
《中华人民共和国安全生产法》第四十一条第二款规定,《中华人民共和国安全生产法》第四十一条第二款,"截断后缀""规定""",安全生产
《中华人民共和国安全生产法》第四十一条第二款、,《中华人民共和国安全生产法》第四十一条第二款,"截断后缀""、""",安全生产
《中华人民共和国安全生产法》第四十一条第二款;4.,《中华人民共和国安全生产法》第四十一条第二款,"截断后缀"";4.""",安全生产
《中华人民共和国安全生产法》第四十一条第二款;,《中华人民共和国安全生产法》第四十一条第二款,"截断后缀"";""",安全生产
《中华人民共和国安全生产法》第四十一条第二款:违反了,《中华人民共和国安全生产法》第四十一条第二款,"截断后缀"":违反了""",安全生产
《中华人民共和国安全生产法》第四十一条第二款.依据,《中华人民共和国安全生产法》第四十一条第二款,"截断后缀"".依据""",安全生产
"《中华人民共和国安全生产法》第四十一条第二款,依据",《中华人民共和国安全生产法》第四十一条第二款,"截断后缀"",依据""",安全生产
《中华人民共和国安全生产法》第四十七条;,《中华人民共和国安全生产法》第四十七条,"截断后缀"";""",安全生产
《中华人民共和国安全生产法》第四十九条第二款：生产经营项,《中华人民共和国安全生产法》第四十九条第二款,"截断后缀""：生产经营项""",安全生产
《中华人民共和国安全生产法》第四十九条第二款：“生产经营项,《中华人民共和国安全生产法》第四十九条第二款,"截断后缀""：“生产经营项""",安全生产
《中华人民共和国安全生产法》第四十九条第二款的规定“生产经营项,《中华人民共和国安全生产法》第四十九条第二款的规定,"截断后缀""“生产经营项""",安全生产
"《中华人民共和国安全生产法》第四十一条第二款,",《中华人民共和国安全生产法》第四十一条第二款,"截断后缀"",""",安全生产
《中华人民共和国安全生产法》第四十九条第二款“生产经营项,《中华人民共和国安全生产法》第四十九条第二款,"截断后缀""“生产经营项""",安全生产
《中华人民共和国安全生产法》第四十九条第二款:“生产经营项,《中华人民共和国安全生产法》第四十九条第二款,"截断后缀"":“生产经营项""",安全生产
《中华人民共和国安全生产法》第四十九条第二款和,《中华人民共和国安全生产法》第四十九条第二款,"截断后缀""和""",安全生产
《中华人民共和国安全生产法》第十七条、,《中华人民共和国安全生产法》第十七条,"截断后缀""、""",安全生产
《中华人民共和国安全生产法》第十七条的规定;依据,《中华人民共和国安全生产法》第十七条的规定,"截断后缀"";依据""",安全生产
《中华人民共和国安全生产法》第四十一条;,《中华人民共和国安全生产法》第四十一条,"截断后缀"";""",安全生产
"《中华人民共和国安全生产法》第四十一条,",《中华人民共和国安全生产法》第四十一条,"截断后缀"",""",安全生产
《中华人民共和国安全生产法》第四十一和四十五条,《中华人民共和国安全生产法》,"截断后缀""第四十一和四十五条""",安全生产
《中华人民共和国安全生产法》第十六条规定及,《中华人民共和国安全生产法》第十六条,"截断后缀""规定及""",安全生产
《中华人民共和国安全生产法》第十八条第六项规,《中华人民共和国安全生产法》第十八条第六项,"截断后缀""规""",安全生产
《中华人民共和国安全生产法》第二十五条第四款、,《中华人民共和国安全生产法》第二十五条第四款,"截断后缀""、""",安全生产
《中华人民共和国安全生产法》第二十五条第四款:依据,《中华人民共和国安全生产法》第二十五条第四款,"截断后缀"":依据""",安全生产
《中华人民共和国安全生产法》第二十五条第四款2,《中华人民共和国安全生产法》第二十五条第四款,"截断后缀""2""",安全生产
